price,city,layout,area,condition,ownership,outdoor,lat,lon,url
3350000,Mladá Boleslav,2+kk,58,Dobrý,Osobní,0,50.473045,14.733501,https://www.sreality.cz/detail/prodej/byt/2+kk/brezovice-brezovice-/3236143948
10300000,Praha 5,4+1,85,Po rekonstrukci,Osobní,1,50.032539,14.375303,https://www.sreality.cz/detail/prodej/byt/4+1/praha-hlubocepy-brichtova/2709545804
3512000,Ostatní,4+1,78,Před rekonstrukcí,Družstevní,1,50.753559,14.557735,https://www.sreality.cz/detail/prodej/byt/4+1/novy-bor-novy-bor-husova/3655156556
6253800,Plzeň,3+kk,74,Po rekonstrukci,Osobní,0,49.733086,13.371384,https://www.sreality.cz/detail/prodej/byt/3+kk/plzen-jizni-predmesti-alesova/2564354892
7950000,Praha 2,2+kk,54,Velmi dobrý,Osobní,0,50.076321,14.427882,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-nove-mesto-halkova/53375820
11230000,Liberec,4+kk,92,Ve výstavbě,Osobní,1,50.762131,15.06023,https://www.sreality.cz/detail/prodej/byt/4+kk/liberec-liberec-iv-perstyn-na-perstyne/1638621772
8285303,Praha 6,2+kk,51,Novostavba,Osobní,1,50.077869,14.301823,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-ruzyne-na-jivinach/1491690060
8754202,Praha 6,2+kk,53,Novostavba,Osobní,1,50.077869,14.301823,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-ruzyne-na-jivinach/2052612684
13290000,Praha 4,3+kk,83,Novostavba,Osobní,1,50.033131,14.502145,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-chodov-kvetnoveho-vitezstvi/3361420108
13490000,Praha 5,3+1,96,V rekonstrukci,Osobní,0,50.065289,14.393119,https://www.sreality.cz/detail/prodej/byt/3+1/praha-smichov-na-vaclavce/266232652
10815000,Praha 4,4+1,84,Dobrý,Osobní,1,50.001888,14.4612,https://www.sreality.cz/detail/prodej/byt/4+1/praha-pisnice-na-okruhu/237519692
18200000,Praha 3,3+kk,111,Velmi dobrý,Osobní,1,50.08601,14.469324,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-ke-kapslovne/3236627276
14367000,Praha 9,3+kk,102,Velmi dobrý,Osobní,1,50.141014,14.517697,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-letnany-skrabkovych/819598156
1500000,Ostatní,1+1,55,Před rekonstrukcí,Osobní,0,48.605324,14.402994,https://www.sreality.cz/detail/prodej/byt/1+1/horni-dvoriste-horni-dvoriste-ceska/2814403404
15990000,Ostatní,3+1,171,Velmi dobrý,Osobní,0,50.000759,14.563891,https://www.sreality.cz/detail/prodej/byt/3+1/pruhonice-pruhonice-ricanska/207332172
10790000,Praha 6,2+1,58,Velmi dobrý,Osobní,0,50.083973,14.376201,https://www.sreality.cz/detail/prodej/byt/2+1/praha-brevnov-liborova/1423573836
5990000,Plzeň,2+1,68,Po rekonstrukci,Osobní,0,49.726582,13.40046,https://www.sreality.cz/detail/prodej/byt/2+1/plzen-vychodni-predmesti-orechova/2065195852
7390000,Praha 5,2+kk,42,Velmi dobrý,Družstevní,0,50.038361,14.33318,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-stodulky-rotavska/2980209484
5299000,Brno,1+kk,35,Novostavba,Osobní,1,49.183128,16.620947,https://www.sreality.cz/detail/prodej/byt/1+kk/brno-komarov-dornych/516051788
8290000,Praha 10,2+kk,57,Velmi dobrý,Osobní,0,50.065208,14.450711,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vrsovice-ukrajinska/1537635148
7490000,Ostatní,2+kk,67,Novostavba,Osobní,1,50.078197,14.864236,https://www.sreality.cz/detail/prodej/byt/2+kk/cesky-brod-cesky-brod-zborovska/1974071884
7775000,Kolín,4+kk,102,Novostavba,Osobní,0,50.093761,14.804296,https://www.sreality.cz/detail/prodej/byt/4+kk/brezany-ii-brezany-ii-/3942200140
6990000,Ostatní,2+kk,68,Novostavba,Osobní,1,50.078197,14.864236,https://www.sreality.cz/detail/prodej/byt/2+kk/cesky-brod-cesky-brod-zborovska/2581500492
11398000,Praha 6,2+1,56,Velmi dobrý,Osobní,0,50.083973,14.376201,https://www.sreality.cz/detail/prodej/byt/2+1/praha-brevnov-liborova/2210267980
11890000,Praha,4+kk,111,Novostavba,Osobní,1,49.929131,14.59017,https://www.sreality.cz/detail/prodej/byt/4+kk/krizkovy-ujezdec-krizkovy-ujezdec-/2939319116
6678000,Kolín,3+kk,77,Novostavba,Osobní,0,50.093761,14.804296,https://www.sreality.cz/detail/prodej/byt/3+kk/brezany-ii-brezany-ii-/2600022860
9990000,Praha 5,3+1,75,Po rekonstrukci,Osobní,1,50.039589,14.341443,https://www.sreality.cz/detail/prodej/byt/3+1/praha-stodulky-janskeho/3843117900
9500000,Praha 5,2+kk,55,Velmi dobrý,Osobní,0,50.073883,14.408747,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-lesnicka/1139958604
4999000,Ostatní,1+kk,35,Novostavba,Osobní,1,50.07058,14.864423,https://www.sreality.cz/detail/prodej/byt/1+kk/cesky-brod-cesky-brod-prokopa-velikeho/1757004620
9381000,Praha 2,2+kk,49,Po rekonstrukci,Osobní,0,50.077267,14.423512,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-nove-mesto-zitna/1958638412
11990000,Praha 3,2+kk,65,Dobrý,Osobní,0,50.079666,14.45916,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-lucemburska/3821720396
5854000,Praha 2,1+kk,26,Po rekonstrukci,Osobní,1,50.077267,14.423512,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-nove-mesto-zitna/1153332044
4990000,Plzeň,2+1,56,Dobrý,Osobní,1,49.731323,13.279346,https://www.sreality.cz/detail/prodej/byt/2+1/vejprnice-vejprnice-plzenska/4255011660
4899000,Ostatní,1+kk,39,Novostavba,Osobní,1,50.07058,14.864423,https://www.sreality.cz/detail/prodej/byt/1+kk/cesky-brod-cesky-brod-prokopa-velikeho/2629419852
8535000,Praha 2,1+kk,31,Po rekonstrukci,Osobní,1,50.077267,14.423512,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-nove-mesto-zitna/2540393292
9781000,Praha 1,1+kk,56,Po rekonstrukci,Osobní,0,50.091877,14.435898,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-nove-mesto-petrska/1045234508
5845000,Praha 3,1+kk,34,Po rekonstrukci,Osobní,1,50.075493,14.450164,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-korunni/994902860
12600000,Praha 1,2+kk,51,Velmi dobrý,Osobní,0,50.091732,14.426872,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-stare-mesto-hradebni/3802846028
4650000,Jihlava,3+1,74,Před rekonstrukcí,Osobní,0,49.412712,15.591288,https://www.sreality.cz/detail/prodej/byt/3+1/jihlava-jihlava-jiriho-z-podebrad/659706700
12990000,Praha 9,3+kk,75,Velmi dobrý,Osobní,1,50.103672,14.509231,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vysocany-pod-harfou/566911820
3590000,Praha,2+kk,51,Novostavba,Družstevní,1,50.029373,14.361618,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-hlubocepy-hugo-haase/3322483532
18176000,Praha 4,2+kk,78,Velmi dobrý,Osobní,0,49.999729,14.417342,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-modrany-ceskoslovenskeho-exilu/3874706252
9458000,Praha,2+kk,50,Po rekonstrukci,Osobní,0,50.082317,14.450463,https://www.sreality.cz/detail/prodej/byt/2+kk/praha--kubelikova/1803698764
