price,area,outdoor,mhd_vzdalenost_metry,rooms,has_kk,city_filtered_Brno,city_filtered_Karlovy Vary,city_filtered_Olomouc,city_filtered_Ostatní,city_filtered_Ostrava,city_filtered_Plzeň,city_filtered_Praha,city_filtered_Praha 10,city_filtered_Praha 3,city_filtered_Praha 4,city_filtered_Praha 5,city_filtered_Praha 6,city_filtered_Praha 8,city_filtered_Praha 9,city_filtered_České Budějovice,ownership_Družstevní,ownership_Osobní,ownership_Státní/obecní,condition_Dobrý,condition_Novostavba,condition_Po rekonstrukci,condition_Prodáno,condition_Projekt,condition_Před rekonstrukcí,condition_Rezervováno,condition_V rekonstrukci,condition_Ve výstavbě,condition_Velmi dobrý,condition_Špatný,url
29980000,162,1,67.0,5.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,https://www.sreality.cz/detail/prodej/byt/5+kk/praha-smichov-graficka/3439813452
6120000,56,1,107.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/2+kk/nymburk-nymburk-bobnicka/4105765708
2075000,25,1,63.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,https://www.sreality.cz/detail/prodej/byt/1+kk/horni-plana-horni-plana-palackeho/126042956
8736329,54,1,201.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/3+kk/brno-husovice-rotalova/2670367564
20190000,126,1,23.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-ruzyne-stochovska/724190028
6400000,54,1,57.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/3+1/praha-strizkov-teplicka/1460958028
14008375,77,0,141.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-cakovice-schoellerova/3631997516
3699999,49,1,96.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,https://www.sreality.cz/detail/prodej/byt/2+1/tabor--/1320444748
4590000,76,0,80.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/4+1/chrudim-chrudim-ii-novomestska/4106908492
3500000,119,0,732.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,https://www.sreality.cz/detail/prodej/byt/4+kk/zlin-zlin-mezihori/485876556
12300000,111,1,110.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-sedlec-v-sedlci/1431720780
7999000,48,0,368.0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-chodov-kloboukova/637158220
4290000,77,1,540.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/4+1/karlovy-vary-drahovice-stara-kysibelska/2223194956
9900000,66,1,277.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/2+kk/zlin-zlin-tyrsovo-nabrezi/2233541452
9100000,56,1,277.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,https://www.sreality.cz/detail/prodej/byt/2+kk/zlin-zlin-smetanova/2371298124
2150000,48,1,280.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/2+kk/liberec-liberec-vi-rochlice-nadvorni/2915779404
5300000,76,0,223.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,https://www.sreality.cz/detail/prodej/byt/2+1/ceske-budejovice-ceske-budejovice-3-neplachova/1521697612
10500000,109,1,462.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/4+kk/ivancice-ivancice-orechova/4031984460
10490000,76,1,117.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/3+kk/brno-zidenice-kopernikova/362480460
2790000,35,0,60.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/1+1/ostrava-hrabuvka-josefa-kotase/178324300
3070000,58,0,115.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,https://www.sreality.cz/detail/prodej/byt/2+kk/rychvald-rychvald-u-posty/3360191308
6890000,69,1,134.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/2+1/zlin-mladcova-/870015820
2359000,60,1,310.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,https://www.sreality.cz/detail/prodej/byt/2+1/karvina-mizerov-majakovskeho/1669088076
9490000,103,1,209.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/4+kk/ceske-budejovice-ceske-budejovice-6-chelcickeho/3085091660
7490000,44,0,77.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/1+1/praha-bubenec-smeralova/3854385996
3190000,65,1,101.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,https://www.sreality.cz/detail/prodej/byt/3+1/karvina--csl--armady/3453440844
9950000,57,0,69.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-kobylisy-u-tresnovky/3070968652
7690000,45,0,176.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/1+1/praha-bubenec-smeralova/558842700
15490000,93,1,54.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov-u-blazenky/3109118796
2900000,71,0,120.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,https://www.sreality.cz/detail/prodej/byt/3+1/chomutov-chomutov-marie-pujmanove/682836812
2065000,64,0,91.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/2+1/teplice-trnovany-antala-staska/3149087564
9490000,79,1,193.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,https://www.sreality.cz/detail/prodej/byt/3+1/brno-zebetin-za-knezskym-hajkem/2343781196
5790000,43,1,482.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/2+kk/cerna-v-posumavi-cerna-v-posumavi-/2557236044
6790000,112,1,33.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/4+kk/svetlik--/2468963148
7490000,75,1,323.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/3+1/brno-lesna-milenova/1323123532
11000000,92,1,219.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/3+kk/brno-kohoutovice-jirovcova/4173353804
7000000,48,0,160.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/2+1/brno-styrice-dvorskeho/3155321676
2980000,34,0,96.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/1+kk/liberec-liberec-xxx-vratislavice-nad-nisou-pivovarska/1099580236
6750000,99,1,231.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,https://www.sreality.cz/detail/prodej/byt/3+1/hradec-kralove-trebes-/1710707532
